"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-6,0.33344,0,11.344,12.926,1.7781,0,0
-6,0.38139,0,11.34,13.127,1.8874,0,0
12,0.31987,0,0,6.6451,3.644,-0.00084782,0
12,0.27467,0,0,7.0941,3.7638,-0.0015983,0
12,0.22947,0,0,7.0881,3.7629,-0.0018737,0
12,0.18427,0,0,6.6811,3.6555,-0.0014488,0
12,0.13907,0,0,5.3651,3.279,-0.00035053,0
12,0.096024,0,0,3.5355,2.6588,0.0016376,0
-6,0.86081,0,11.327,11.793,0.95855,0,0
-6,0.90584,0,11.326,11.561,0.68235,0,0
-6,0.71698,0,11.34,12.657,1.6234,0,0
-6,0.76492,0,11.338,12.37,1.4385,0,0
-6,0.14168,0,11.33,11.805,0.97283,0,0
-6,0.18962,0,11.336,12.092,1.2293,0,0
-0.88707,1,0,11.141,11.141,0,0,0
-0.86624,1,0,11.144,11.144,0,0,0
-0.8453,1,0,11.146,11.146,0,0,0
-0.82432,1,0,11.149,11.149,0,0,0
-0.80338,1,0,11.152,11.152,0,0,0
-0.78252,1,0,11.154,11.154,0,0,0
-0.76174,1,0,11.157,11.157,0,0,0
-0.74099,1,0,11.159,11.159,0,0,0
-0.72027,1,0,11.162,11.162,0,0,0
-0.69956,1,0,11.165,11.165,0,0,0
-0.67887,1,0,11.167,11.167,0,0,0
-0.6582,1,0,11.17,11.17,0,0,0
-0.63753,1,0,11.172,11.172,0,0,0
-0.61688,1,0,11.175,11.175,0,0,0
-0.59622,1,0,11.177,11.177,0,0,0
-0.57557,1,0,11.179,11.179,0,0,0
-0.55491,1,0,11.182,11.182,0,0,0
-0.53425,1,0,11.184,11.184,0,0,0
-0.51357,1,0,11.186,11.186,0,0,0
-0.49289,1,0,11.188,11.188,0,0,0
-0.47219,1,0,11.19,11.19,0,0,0
-0.45146,1,0,11.192,11.192,0,0,0
-0.43072,1,0,11.194,11.194,0,0,0
