"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-6,0.33348,0,9.1396,10.721,1.7782,0,0
-6,0.38142,0,9.1364,10.922,1.8875,0,0
-0.37286,1,0,9.061,9.061,0,0,0
-0.35186,1,0,9.0623,9.0623,0,0,0
-0.33081,1,0,9.0636,9.0636,0,0,0
-0.30982,1,0,9.0648,9.0648,0,0,0
-0.28889,1,0,9.0656,9.0656,0,0,0
-0.26805,1,0,9.0658,9.0658,0,0,0
-0.24727,1,0,9.0656,9.0656,0,0,0
-0.24727,0.97947,0,9.0653,9.0653,0,0,0
-0.24727,0.95972,0,9.0655,9.0655,0,0,0
-0.24727,0.93997,0,9.0663,9.0663,0,0,0
-0.24727,0.92023,0,9.0678,9.0678,0,0,0
-0.24727,0.90048,0,9.0697,9.0697,0,0,0
-0.24727,0.88073,0,9.0719,9.0719,0,0,0
-0.24727,0.86098,0,9.075,9.075,0,0,0
-0.24727,0.84121,0,9.0809,9.0809,0,0,0
-0.24727,0.82142,0,9.0874,9.0874,0,0,0
-0.24727,0.80157,0,9.0668,9.0668,0,0,0
-0.24727,0.78182,0,8.9119,8.9119,0,0,0
-0.14727,0.78182,0,8.8648,8.8648,0,0,0
-0.14727,0.80166,0,8.8788,8.8788,0,0,0
-0.14727,0.82145,0,8.882,8.882,0,0,0
-0.14727,0.84123,0,8.8818,8.8818,0,0,0
-0.14727,0.86101,0,8.8813,8.8813,0,0,0
-0.14727,0.88079,0,8.881,8.881,0,0,0
-0.14727,0.90057,0,8.881,8.881,0,0,0
-0.14727,0.92035,0,8.8809,8.8809,0,0,0
-0.14727,0.94013,0,8.8809,8.8809,0,0,0
-0.14727,0.95991,0,8.8809,8.8809,0,0,0
-0.14727,0.97969,0,8.8809,8.8809,0,0,0
-0.14727,1,0,8.8809,8.8809,0,0,0
-0.23616,0.78182,0,8.752,8.752,0,0,0
-0.22505,0.78182,0,8.7412,8.7412,0,0,0
-0.21394,0.78182,0,8.7762,8.7762,0,0,0
-0.20283,0.78182,0,8.8066,8.8066,0,0,0
-0.19172,0.78182,0,8.8254,8.8254,0,0,0
-0.18061,0.78182,0,8.8364,8.8364,0,0,0
-0.16949,0.78182,0,8.8443,8.8443,0,0,0
-0.15838,0.78182,0,8.8522,8.8522,0,0,0
-1.7082,1,0,8.971,8.971,0,0,0
-1.6782,1,0,8.9713,8.9713,0,0,0
-1.6482,1,0,8.9717,8.9717,0,0,0
-1.6182,1,0,8.9722,8.9722,0,0,0
-1.5882,1,0,8.9728,8.9728,0,0,0
-1.5582,1,0,8.9734,8.9734,0,0,0
-1.5282,1,0,8.9742,8.9742,0,0,0
-1.4982,1,0,8.9751,8.9751,0,0,0
-1.4682,1,0,8.9761,8.9761,0,0,0
-1.4382,1,0,8.9772,8.9772,0,0,0
-1.4082,1,0,8.9784,8.9784,0,0,0
-1.3782,1,0,8.9798,8.9798,0,0,0
-1.3482,1,0,8.9813,8.9813,0,0,0
-1.3182,1,0,8.9829,8.9829,0,0,0
-1.2882,1,0,8.9845,8.9845,0,0,0
-1.2582,1,0,8.9862,8.9862,0,0,0
-1.2282,1,0,8.9879,8.9879,0,0,0
-1.1982,1,0,8.9897,8.9897,0,0,0
-1.1682,1,0,8.9917,8.9917,0,0,0
-0.63913,-5.1595e-16,0,8.4697,8.4697,0,0,0
-0.65908,-5.1676e-16,0,8.4907,8.4907,0,0,0
-0.67902,-5.1758e-16,0,8.5105,8.5105,0,0,0
-0.69897,-5.1839e-16,0,8.5292,8.5292,0,0,0
-0.71891,-5.1921e-16,0,8.5469,8.5469,0,0,0
-0.73886,-5.2002e-16,0,8.5637,8.5637,0,0,0
-0.75881,-5.2083e-16,0,8.5796,8.5796,0,0,0
-0.77878,-5.2165e-16,0,8.5946,8.5946,0,0,0
-0.79881,-5.2247e-16,0,8.609,8.609,0,0,0
-0.81891,-5.2329e-16,0,8.6226,8.6226,0,0,0
-0.83904,-5.2411e-16,0,8.6356,8.6356,0,0,0
-0.8592,-5.2493e-16,0,8.648,8.648,0,0,0
-0.87927,-5.2575e-16,0,8.6597,8.6597,0,0,0
-0.89928,-5.2657e-16,0,8.6708,8.6708,0,0,0
-0.91925,-5.2738e-16,0,8.6815,8.6815,0,0,0
-0.9392,-5.282e-16,0,8.6917,8.6917,0,0,0
-0.95914,-5.2901e-16,0,8.7014,8.7014,0,0,0
-0.97909,-5.2983e-16,0,8.7108,8.7108,0,0,0
-0.99903,-5.3064e-16,0,8.7199,8.7199,0,0,0
9.0678,0.5,0,1.1288,1.1288,0,0,0
9.1176,0.5,0,1.1084,1.1084,0,0,0
9.1673,0.5,0,1.0881,1.0881,0,0,0
9.217,0.5,0,1.0678,1.0678,0,0,0
9.2667,0.5,0,1.0476,1.0476,0,0,0
9.3165,0.5,0,1.0273,1.0273,0,0,0
9.3662,0.5,0,1.0071,1.0071,0,0,0
9.4159,0.5,0,0.98695,0.98695,0,0,0
9.4656,0.5,0,0.9668,0.9668,0,0,0
9.5154,0.5,0,0.94667,0.94667,0,0,0
9.5651,0.5,0,0.92658,0.92658,0,0,0
9.6148,0.5,0,0.90651,0.90651,0,0,0
9.6645,0.5,0,0.88646,0.88646,0,0,0
9.7143,0.5,0,0.86644,0.86644,0,0,0
9.764,0.5,0,0.84646,0.84646,0,0,0
9.8137,0.5,0,0.8265,0.8265,0,0,0
9.8634,0.5,0,0.80657,0.80657,0,0,0
9.9132,0.5,0,0.78667,0.78667,0,0,0
9.9629,0.5,0,0.7668,0.7668,0,0,0
-6,0.28553,0,9.1379,10.47,1.632,0,0
-6,0.23758,0,9.1346,10.185,1.4491,0,0
-6,0.81296,0,9.13,9.8719,1.2165,0,0
-6,0.86091,0,9.1258,9.5885,0.95797,0,0
-6,0.66911,0,9.1362,10.704,1.7712,0,0
-6,0.71706,0,9.1355,10.452,1.6231,0,0
-6,0.76501,0,9.1336,10.166,1.4382,0,0
-6,0.18963,0,9.1321,9.8882,1.2294,0,0
12,0.31987,0,0,6.5916,3.6309,0.0026759,0
12,0.27467,0,0,6.9941,3.7381,0.0023453,0
12,0.22947,0,0,7.0124,3.7425,0.0011078,0
12,0.40745,0,0,3.4468,2.6253,-0.0017453,0
12,0.36508,0,0,5.2703,3.25,0.0013652,0
10.013,0.5,0,0.74697,0.74697,0,0,0
10.062,0.5,0,0.72716,0.72716,0,0,0
10.112,0.5,0,0.70739,0.70739,0,0,0
10.162,0.5,0,0.68764,0.68764,0,0,0
10.212,0.5,0,0.66793,0.66793,0,0,0
10.261,0.5,0,0.64824,0.64824,0,0,0
10.311,0.5,0,0.62859,0.62859,0,0,0
10.361,0.5,0,0.60896,0.60896,0,0,0
10.41,0.5,0,0.58936,0.58936,0,0,0
10.46,0.5,0,0.56979,0.56979,0,0,0
10.51,0.5,0,0.55022,0.55022,0,0,0
10.56,0.5,0,0.53066,0.53066,0,0,0
10.609,0.5,0,0.51106,0.51106,0,0,0
10.659,0.5,0,0.49138,0.49138,0,0,0
10.709,0.5,0,0.47157,0.47157,0,0,0
10.758,0.5,0,0.45155,0.45155,0,0,0
10.808,0.5,0,0.43134,0.43134,0,0,0
10.858,0.5,0,0.41102,0.41102,0,0,0
-0.018468,1,0,8.8808,8.8808,0,0,0
0,1,0,8.8808,8.8808,0,0,0
-0.036921,1,0,8.8808,8.8808,0,0,0
-0.055363,1,0,8.8808,8.8808,0,0,0
-0.073796,1,0,8.8808,8.8808,0,0,0
-0.092225,1,0,8.8808,8.8808,0,0,0
-0.11065,1,0,8.8809,8.8809,0,0,0
-0.12908,1,0,8.8809,8.8809,0,0,0
0,0.98012,0,8.8808,8.8808,0,0,0
0,0.96094,0,8.8808,8.8808,0,0,0
0,0.94179,0,8.8808,8.8808,0,0,0
0,0.92263,0,8.8807,8.8807,0,0,0
0,0.90348,0,8.8807,8.8807,0,0,0
0,0.88433,0,8.8806,8.8806,0,0,0
0,0.86518,0,8.8805,8.8805,0,0,0
0,0.84603,0,8.8805,8.8805,0,0,0
0,0.82687,0,8.8805,8.8805,0,0,0
0,0.80769,0,8.8809,8.8809,0,0,0
0,0.78846,0,8.882,8.882,0,0,0
0,0.76917,0,8.8841,8.8841,0,0,0
0,0.74982,0,8.888,8.888,0,0,0
0,0.73043,0,8.8941,8.8941,0,0,0
0,0.71105,0,8.9024,8.9024,0,0,0
0,0.69169,0,8.912,8.912,0,0,0
0,0.67241,0,8.9207,8.9207,0,0,0
0,0.65318,0,8.9243,8.9243,0,0,0
0,0.63399,0,8.9161,8.9161,0,0,0
0,0.61483,0,8.8866,8.8866,0,0,0
0,0.59568,0,8.8219,8.8219,0,0,0
0,0.57653,0,8.6987,8.6987,0,0,0
0,0.55738,0,8.4672,8.4672,0,0,0
0,0.53823,0,7.9972,7.9972,0,0,0
0,0.51908,0,6.929,6.929,0,0,0
0,0.5,0,3.4032,3.4032,0,0,0
0.019808,0.5,0,0.58973,0.58973,0,0,0
0.039616,0.5,0,1.304,1.304,0,0,0
0.059424,0.5,0,2.1248,2.1248,0,0,0
0.079232,0.5,0,2.5574,2.5574,0,0,0
0.09904,0.5,0,2.7703,2.7703,0,0,0
0.11885,0.5,0,2.9015,2.9015,0,0,0
0.13869,0.5,0,3.0077,3.0077,0,0,0
0.15858,0.5,0,3.1047,3.1047,0,0,0
0.17855,0.5,0,3.196,3.196,0,0,0
0.19854,0.5,0,3.2825,3.2825,0,0,0
0.21849,0.5,0,3.3646,3.3646,0,0,0
0.23839,0.5,0,3.4426,3.4426,0,0,0
0.25822,0.5,0,3.5169,3.5169,0,0,0
0.27804,0.5,0,3.5878,3.5878,0,0,0
0.29784,0.5,0,3.6556,3.6556,0,0,0
0.31765,0.5,0,3.7205,3.7205,0,0,0
0.33746,0.5,0,3.7826,3.7826,0,0,0
0.35727,0.5,0,3.842,3.842,0,0,0
0.37708,0.5,0,3.8986,3.8986,0,0,0
0.39688,0.5,0,3.9527,3.9527,0,0,0
0.41669,0.5,0,4.004,4.004,0,0,0
0.4365,0.5,0,4.0527,4.0527,0,0,0
0.45631,0.5,0,4.0987,4.0987,0,0,0
