"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
12,0.31987,0,0,6.5881,3.6245,0.0015915,0
12,0.27467,0,0,6.9712,3.7305,0.0010034,0
-6,0.18963,0,7.6915,8.4457,1.2294,0,0
-6,0.23758,0,7.6921,8.7414,1.4491,0,0
-6,0.47733,0,7.6928,9.6852,1.9959,0,0
-6,0.52528,0,7.6928,9.6832,1.9949,0,0
-6,0.76502,0,7.6902,8.7231,1.4381,0,0
-6,0.81297,0,7.6883,8.4307,1.2164,0,0
-6,0.28553,0,7.6917,9.0234,1.632,0,0
-6,0.33348,0,7.6918,9.2727,1.7782,0,0
-6,0.57323,0,7.6923,9.6073,1.9571,0,0
-6,0.62117,0,7.6922,9.464,1.8825,0,0
-6,0.38143,0,7.6921,9.4733,1.8875,0,0
-6,0.42938,0,7.6923,9.6131,1.9601,0,0
-6,0.66912,0,7.6918,9.2603,1.7712,0,0
-6,0.71707,0,7.6913,9.0082,1.623,0,0
12,0.22947,0,0,6.956,3.7281,0.00051357,0
12,0.18427,0,0,6.6252,3.641,-0.00058249,0
-6,0.14168,0,7.6896,8.1614,0.97287,0,0
12,0.36508,0,0,5.3005,3.2532,0.0010673,0
-6,0.86092,0,7.6899,8.1491,0.95789,0,0
-6,0.90595,0,7.6847,7.9183,0.68163,0,0
3.8236,-3.3378e-16,0,2.4205,2.4205,0,0,0
3.7936,-3.35e-16,0,2.4315,2.4315,0,0,0
3.8535,-3.3255e-16,0,2.4095,2.4095,0,0,0
3.8835,-3.3133e-16,0,2.3985,2.3985,0,0,0
3.9135,-3.301e-16,0,2.3876,2.3876,0,0,0
3.9435,-3.2888e-16,0,2.3767,2.3767,0,0,0
3.9734,-3.2766e-16,0,2.3658,2.3658,0,0,0
4.0034,-3.2643e-16,0,2.3549,2.3549,0,0,0
4.0334,-3.2521e-16,0,2.3441,2.3441,0,0,0
4.0634,-3.2399e-16,0,2.3333,2.3333,0,0,0
4.0933,-3.2276e-16,0,2.3225,2.3225,0,0,0
4.1233,-3.2154e-16,0,2.3117,2.3117,0,0,0
4.1533,-3.2032e-16,0,2.301,2.301,0,0,0
4.1833,-3.1909e-16,0,2.2903,2.2903,0,0,0
4.2132,-3.1787e-16,0,2.2796,2.2796,0,0,0
4.2432,-3.1664e-16,0,2.2689,2.2689,0,0,0
4.2732,-3.1542e-16,0,2.2582,2.2582,0,0,0
4.3032,-3.142e-16,0,2.2475,2.2475,0,0,0
4.3331,-3.1297e-16,0,2.2368,2.2368,0,0,0
-4.7508,-6.838e-16,0,7.648,7.648,0,0,0
-4.8009,-6.8584e-16,0,7.6495,7.6495,0,0,0
-4.851,-6.8788e-16,0,7.6509,7.6509,0,0,0
-4.901,-6.8993e-16,0,7.6524,7.6524,0,0,0
-4.9511,-6.9197e-16,0,7.6538,7.6538,0,0,0
-5.0012,-6.9401e-16,0,7.6553,7.6553,0,0,0
-5.0512,-6.9606e-16,0,7.6567,7.6567,0,0,0
-5.1013,-6.981e-16,0,7.6581,7.6581,0,0,0
-5.1514,-7.0015e-16,0,7.6595,7.6595,0,0,0
-5.2015,-7.0219e-16,0,7.6609,7.6609,0,0,0
-5.2515,-7.0423e-16,0,7.6623,7.6623,0,0,0
-5.3016,-7.0628e-16,0,7.6637,7.6637,0,0,0
-5.3517,-7.0832e-16,0,7.665,7.665,0,0,0
-5.4017,-7.1037e-16,0,7.6664,7.6664,0,0,0
-5.4518,-7.1241e-16,0,7.6677,7.6677,0,0,0
-5.5019,-7.1445e-16,0,7.6691,7.6691,0,0,0
-5.5519,-7.165e-16,0,7.6704,7.6704,0,0,0
-5.602,-7.1854e-16,0,7.6718,7.6718,0,0,0
-5.6521,-7.2059e-16,0,7.6731,7.6731,0,0,0
-5.7021,-7.2263e-16,0,7.6745,7.6745,0,0,0
-5.7522,-7.2467e-16,0,7.6759,7.6759,0,0,0
-5.8023,-7.2672e-16,0,7.6774,7.6774,0,0,0
-5.8524,-7.2876e-16,0,7.6791,7.6791,0,0,0
-5.9024,-7.308e-16,0,7.6807,7.6807,0,0,0
-5.9524,-7.3284e-16,0,7.6822,7.6822,0,0,0
-6,0.073961,0,7.6841,7.835,0.54792,0,0
-6,0.096024,0,7.6852,7.9273,0.69443,0,0
-6,0.054775,0,7.6838,7.7701,0.4142,0,0
-6,0.038092,0,7.6836,7.7269,0.29313,0,0
-6,0.023584,0,7.6835,7.7007,0.18423,0,0
-6,0.01097,0,7.6834,7.6874,0.086793,0,0
-6,-1e-15,0,7.6834,7.6834,-7.9936e-15,0,0
0.019983,-4.8904e-16,0,4.964,4.964,0,0,0
0,-4.8986e-16,0,5.0321,5.0321,0,0,0
0.039967,-4.8823e-16,0,4.8977,4.8977,0,0,0
0.059951,-4.8741e-16,0,4.8334,4.8334,0,0,0
0.079966,-4.8659e-16,0,4.7711,4.7711,0,0,0
0.10003,-4.8578e-16,0,4.7108,4.7108,0,0,0
0.12016,-4.8495e-16,0,4.6525,4.6525,0,0,0
0.14037,-4.8413e-16,0,4.5964,4.5964,0,0,0
0.16054,-4.8331e-16,0,4.5427,4.5427,0,0,0
0.18066,-4.8248e-16,0,4.4915,4.4915,0,0,0
0.20071,-4.8167e-16,0,4.4428,4.4428,0,0,0
0.22071,-4.8085e-16,0,4.3965,4.3965,0,0,0
0.2407,-4.8003e-16,0,4.3524,4.3524,0,0,0
0.26068,-4.7922e-16,0,4.3105,4.3105,0,0,0
0.28067,-4.784e-16,0,4.2707,4.2707,0,0,0
0.30065,-4.7759e-16,0,4.2329,4.2329,0,0,0
0.32063,-4.7677e-16,0,4.1971,4.1971,0,0,0
0.34061,-4.7595e-16,0,4.163,4.163,0,0,0
0.3606,-4.7514e-16,0,4.1308,4.1308,0,0,0
0.38058,-4.7432e-16,0,4.1002,4.1002,0,0,0
0.40056,-4.7351e-16,0,4.0711,4.0711,0,0,0
0.42055,-4.7269e-16,0,4.0436,4.0436,0,0,0
0.44053,-4.7188e-16,0,4.0174,4.0174,0,0,0
0.46051,-4.7106e-16,0,3.9926,3.9926,0,0,0
0.4805,-4.7024e-16,0,3.9689,3.9689,0,0,0
0.50048,-4.6943e-16,0,3.9464,3.9464,0,0,0
0.52046,-4.6861e-16,0,3.925,3.925,0,0,0
0.54045,-4.678e-16,0,3.9046,3.9046,0,0,0
0.56047,-4.6698e-16,0,3.885,3.885,0,0,0
0.58054,-4.6616e-16,0,3.8662,3.8662,0,0,0
0.60068,-4.6534e-16,0,3.8482,3.8482,0,0,0
0.6209,-4.6451e-16,0,3.8309,3.8309,0,0,0
0.64106,-4.6369e-16,0,3.8143,3.8143,0,0,0
0.66118,-4.6287e-16,0,3.7984,3.7984,0,0,0
0.68122,-4.6205e-16,0,3.7831,3.7831,0,0,0
0.70121,-4.6123e-16,0,3.7684,3.7684,0,0,0
0.7212,-4.6042e-16,0,3.7542,3.7542,0,0,0
