"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
12,0.31987,0,0,6.4462,3.5898,0.0036855,0
12,0.27467,0,0,6.8119,3.6893,0.0010848,0
-6,0.18962,0,6.6575,7.412,1.2293,0,0
-6,0.23756,0,6.6578,7.7072,1.449,0,0
-6,0.76494,0,6.6554,7.6892,1.4384,0,0
-6,0.81289,0,6.6538,7.397,1.2168,0,0
12,0.22947,0,0,6.83,3.6939,-0.000335,0
12,0.18427,0,0,6.5523,3.6189,-0.00095185,0
-6,0.3814,0,6.658,8.4391,1.8875,0,0
-6,0.42934,0,6.6582,8.5789,1.9601,0,0
-6,0.57317,0,6.6583,8.5733,1.9572,0,0
-6,0.62111,0,6.6581,8.4301,1.8827,0,0
-0.019945,-4.9067e-16,0,4.293,4.293,0,0,0
-0.03989,-4.9149e-16,0,4.3843,4.3843,0,0,0
-0.059835,-4.923e-16,0,4.474,4.474,0,0,0
-0.07978,-4.9312e-16,0,4.5618,4.5618,0,0,0
-0.099725,-4.9393e-16,0,4.6473,4.6473,0,0,0
-0.11967,-4.9474e-16,0,4.7303,4.7303,0,0,0
-0.13961,-4.9556e-16,0,4.8106,4.8106,0,0,0
-0.15956,-4.9637e-16,0,4.8881,4.8881,0,0,0
-0.1795,-4.9719e-16,0,4.9626,4.9626,0,0,0
-0.19945,-4.98e-16,0,5.034,5.034,0,0,0
-0.21939,-4.9881e-16,0,5.1024,5.1024,0,0,0
-0.23934,-4.9963e-16,0,5.1677,5.1677,0,0,0
-0.25928,-5.0044e-16,0,5.23,5.23,0,0,0
-0.27924,-5.0126e-16,0,5.2893,5.2893,0,0,0
-0.2992,-5.0207e-16,0,5.3458,5.3458,0,0,0
-0.31922,-5.0289e-16,0,5.3997,5.3997,0,0,0
-0.33931,-5.0371e-16,0,5.451,5.451,0,0,0
-0.35944,-5.0453e-16,0,5.4998,5.4998,0,0,0
-0.37961,-5.0535e-16,0,5.5462,5.5462,0,0,0
-0.39969,-5.0617e-16,0,5.59,5.59,0,0,0
-0.41971,-5.0699e-16,0,5.6315,5.6315,0,0,0
-0.43968,-5.0781e-16,0,5.6708,5.6708,0,0,0
-0.45963,-5.0862e-16,0,5.7081,5.7081,0,0,0
-0.47957,-5.0944e-16,0,5.7435,5.7435,0,0,0
-0.49952,-5.1025e-16,0,5.7772,5.7772,0,0,0
-0.51946,-5.1106e-16,0,5.8093,5.8093,0,0,0
-0.53941,-5.1188e-16,0,5.8398,5.8398,0,0,0
-0.55935,-5.1269e-16,0,5.8689,5.8689,0,0,0
-0.5793,-5.1351e-16,0,5.8966,5.8966,0,0,0
-0.59924,-5.1432e-16,0,5.923,5.923,0,0,0
-0.61919,-5.1513e-16,0,5.9482,5.9482,0,0,0
-0.63913,-5.1595e-16,0,5.9723,5.9723,0,0,0
-0.65908,-5.1676e-16,0,5.9953,5.9953,0,0,0
-0.67902,-5.1758e-16,0,6.0172,6.0172,0,0,0
-0.69897,-5.1839e-16,0,6.0383,6.0383,0,0,0
-0.71891,-5.1921e-16,0,6.0584,6.0584,0,0,0
-0.73886,-5.2002e-16,0,6.0777,6.0777,0,0,0
-0.75881,-5.2083e-16,0,6.0962,6.0962,0,0,0
-0.77878,-5.2165e-16,0,6.1139,6.1139,0,0,0
-0.79881,-5.2247e-16,0,6.131,6.131,0,0,0
-0.81891,-5.2329e-16,0,6.1474,6.1474,0,0,0
-0.83904,-5.2411e-16,0,6.1632,6.1632,0,0,0
-0.8592,-5.2493e-16,0,6.1784,6.1784,0,0,0
-0.87927,-5.2575e-16,0,6.1929,6.1929,0,0,0
-0.89928,-5.2657e-16,0,6.2068,6.2068,0,0,0
-0.91925,-5.2738e-16,0,6.2202,6.2202,0,0,0
-0.9392,-5.282e-16,0,6.233,6.233,0,0,0
-0.95914,-5.2901e-16,0,6.2453,6.2453,0,0,0
-0.97909,-5.2983e-16,0,6.2572,6.2572,0,0,0
-0.99903,-5.3064e-16,0,6.2686,6.2686,0,0,0
-1.0199,-5.3149e-16,0,6.2802,6.2802,0,0,0
-1.0421,-5.324e-16,0,6.2919,6.2919,0,0,0
-1.0682,-5.3347e-16,0,6.305,6.305,0,0,0
-1.0976,-5.3466e-16,0,6.3189,6.3189,0,0,0
-1.1275,-5.3588e-16,0,6.3323,6.3323,0,0,0
-1.1574,-5.3711e-16,0,6.3448,6.3448,0,0,0
-1.1873,-5.3833e-16,0,6.3566,6.3566,0,0,0
-1.2172,-5.3955e-16,0,6.3678,6.3678,0,0,0
-1.2472,-5.4077e-16,0,6.3783,6.3783,0,0,0
-1.2771,-5.4199e-16,0,6.3882,6.3882,0,0,0
-1.307,-5.4321e-16,0,6.3976,6.3976,0,0,0
-1.3369,-5.4443e-16,0,6.4064,6.4064,0,0,0
-1.3668,-5.4565e-16,0,6.4148,6.4148,0,0,0
-1.3967,-5.4688e-16,0,6.4228,6.4228,0,0,0
-1.4267,-5.481e-16,0,6.4303,6.4303,0,0,0
-1.4566,-5.4932e-16,0,6.4374,6.4374,0,0,0
