"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-6,0.23759,0,6.3301,7.3797,1.4491,0,0
-6,0.28554,0,6.3307,7.6622,1.632,0,0
-6,0.33349,0,6.3312,7.912,1.7782,0,0
-6,0.38144,0,6.3316,8.1129,1.8875,0,0
-6,0.42939,0,6.3319,8.2527,1.9601,0,0
-6,0.47734,0,6.3324,8.3248,1.9959,0,0
-6,0.52529,0,6.3325,8.3228,1.9949,0,0
-6,0.57324,0,6.332,8.2468,1.9571,0,0
-6,0.62119,0,6.3318,8.1035,1.8825,0,0
-6,0.66914,0,6.3315,7.8997,1.7711,0,0
-6,0.71709,0,6.3309,7.6475,1.623,0,0
-6,0.76504,0,6.3297,7.3626,1.438,0,0
-6,0.81299,0,6.3283,7.0698,1.2163,0,0
-6,0.86094,0,6.3294,6.7884,0.95777,0,0
12,0.27467,0,0,6.7629,3.6759,0.0019815,0
12,0.22947,0,0,6.7813,3.6799,0.00011503,0
12,0.18427,0,0,6.506,3.6035,-0.0024323,0
12,0.13907,0,0,5.4226,3.2935,-0.0027572,0
-6,0.096024,0,6.3244,6.5662,0.69443,0,0
-6,0.14168,0,6.3282,6.8,0.97288,0,0
12,0.40745,0,0,3.562,2.6736,-0.0040185,0
12,0.36508,0,0,5.3384,3.2698,0.0022652,0
-0.020775,1,0,4.9001,4.9001,0,0,0
0,1,0,4.9001,4.9001,0,0,0
-0.041534,1,0,4.9003,4.9003,0,0,0
-0.062281,1,0,4.9006,4.9006,0,0,0
-0.083016,1,0,4.9011,4.9011,0,0,0
-0.10375,1,0,4.9016,4.9016,0,0,0
-0.12447,1,0,4.902,4.902,0,0,0
-0.1452,1,0,4.9022,4.9022,0,0,0
-0.16594,1,0,4.9022,4.9022,0,0,0
-0.18668,1,0,4.9021,4.9021,0,0,0
-0.20743,1,0,4.9019,4.9019,0,0,0
-0.22819,1,0,4.9017,4.9017,0,0,0
-0.24897,1,0,4.9016,4.9016,0,0,0
-0.26977,1,0,4.9015,4.9015,0,0,0
-0.2906,1,0,4.9015,4.9015,0,0,0
-0.31147,1,0,4.9016,4.9016,0,0,0
-0.33241,1,0,4.9017,4.9017,0,0,0
-0.35343,1,0,4.9019,4.9019,0,0,0
-0.3745,1,0,4.9021,4.9021,0,0,0
-0.3955,1,0,4.9023,4.9023,0,0,0
-0.41636,1,0,4.9023,4.9023,0,0,0
0,0.98012,0,4.9002,4.9002,0,0,0
0,0.96094,0,4.9001,4.9001,0,0,0
0,0.94179,0,4.8997,4.8997,0,0,0
0,0.92263,0,4.8992,4.8992,0,0,0
0,0.90348,0,4.8985,4.8985,0,0,0
0,0.88433,0,4.8977,4.8977,0,0,0
0,0.86518,0,4.8966,4.8966,0,0,0
0,0.84603,0,4.8952,4.8952,0,0,0
0,0.82687,0,4.8934,4.8934,0,0,0
0,0.80769,0,4.8911,4.8911,0,0,0
0,0.78846,0,4.8885,4.8885,0,0,0
0,0.76917,0,4.8857,4.8857,0,0,0
0,0.74982,0,4.8833,4.8833,0,0,0
0,0.73043,0,4.882,4.882,0,0,0
0,0.71105,0,4.8828,4.8828,0,0,0
0,0.69169,0,4.8867,4.8867,0,0,0
0,0.67241,0,4.895,4.895,0,0,0
0,0.65318,0,4.9096,4.9096,0,0,0
0,0.63399,0,4.9341,4.9341,0,0,0
0,0.61483,0,4.976,4.976,0,0,0
0,0.59568,0,5.0464,5.0464,0,0,0
0,0.57653,0,5.1524,5.1524,0,0,0
0,0.55738,0,5.2756,5.2756,0,0,0
0,0.53823,0,5.3295,5.3295,0,0,0
0,0.51908,0,5.0312,5.0312,0,0,0
0,0.5,0,2.6663,2.6663,0,0,0
0.019808,0.5,0,0.16294,0.16294,0,0,0
0.039616,0.5,0,0.51506,0.51506,0,0,0
