"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
2.9957,0.5,0,1.5462,1.5462,0,0,0
3.0156,0.5,0,1.5419,1.5419,0,0,0
3.0356,0.5,0,1.5374,1.5374,0,0,0
3.0565,0.5,0,1.5327,1.5327,0,0,0
3.0797,0.5,0,1.5274,1.5274,0,0,0
3.1059,0.5,0,1.5215,1.5215,0,0,0
3.1347,0.5,0,1.515,1.515,0,0,0
3.1644,0.5,0,1.5086,1.5086,0,0,0
3.1941,0.5,0,1.5023,1.5023,0,0,0
3.2239,0.5,0,1.4961,1.4961,0,0,0
3.2536,0.5,0,1.49,1.49,0,0,0
3.2833,0.5,0,1.4839,1.4839,0,0,0
3.313,0.5,0,1.4779,1.4779,0,0,0
3.3427,0.5,0,1.4719,1.4719,0,0,0
3.3724,0.5,0,1.4658,1.4658,0,0,0
3.4021,0.5,0,1.4598,1.4598,0,0,0
3.4318,0.5,0,1.4538,1.4538,0,0,0
3.4616,0.5,0,1.4478,1.4478,0,0,0
3.4913,0.5,0,1.4418,1.4418,0,0,0
3.521,0.5,0,1.4358,1.4358,0,0,0
3.5507,0.5,0,1.4298,1.4298,0,0,0
3.5804,0.5,0,1.4238,1.4238,0,0,0
3.6101,0.5,0,1.4178,1.4178,0,0,0
3.6398,0.5,0,1.4117,1.4117,0,0,0
3.6695,0.5,0,1.4057,1.4057,0,0,0
3.6992,0.5,0,1.3996,1.3996,0,0,0
3.729,0.5,0,1.3936,1.3936,0,0,0
3.7587,0.5,0,1.3875,1.3875,0,0,0
3.7884,0.5,0,1.3815,1.3815,0,0,0
3.8181,0.5,0,1.3754,1.3754,0,0,0
3.8478,0.5,0,1.3694,1.3694,0,0,0
3.8775,0.5,0,1.3633,1.3633,0,0,0
3.9072,0.5,0,1.3572,1.3572,0,0,0
3.9369,0.5,0,1.3512,1.3512,0,0,0
3.9667,0.5,0,1.3451,1.3451,0,0,0
3.9964,0.5,0,1.339,1.339,0,0,0
4.0261,0.5,0,1.3329,1.3329,0,0,0
4.0558,0.5,0,1.3269,1.3269,0,0,0
4.0855,0.5,0,1.3208,1.3208,0,0,0
4.1152,0.5,0,1.3147,1.3147,0,0,0
4.1449,0.5,0,1.3086,1.3086,0,0,0
4.1746,0.5,0,1.3026,1.3026,0,0,0
4.2043,0.5,0,1.2965,1.2965,0,0,0
4.2341,0.5,0,1.2904,1.2904,0,0,0
4.2638,0.5,0,1.2843,1.2843,0,0,0
4.2935,0.5,0,1.2782,1.2782,0,0,0
4.3232,0.5,0,1.2722,1.2722,0,0,0
4.3529,0.5,0,1.2661,1.2661,0,0,0
4.3826,0.5,0,1.26,1.26,0,0,0
4.4123,0.5,0,1.254,1.254,0,0,0
4.442,0.5,0,1.248,1.248,0,0,0
4.4718,0.5,0,1.242,1.242,0,0,0
4.5015,0.5,0,1.236,1.236,0,0,0
4.5312,0.5,0,1.23,1.23,0,0,0
4.5609,0.5,0,1.224,1.224,0,0,0
4.5906,0.5,0,1.218,1.218,0,0,0
4.6203,0.5,0,1.2121,1.2121,0,0,0
4.65,0.5,0,1.2061,1.2061,0,0,0
4.6797,0.5,0,1.2001,1.2001,0,0,0
4.7095,0.5,0,1.1941,1.1941,0,0,0
4.7392,0.5,0,1.1881,1.1881,0,0,0
4.7689,0.5,0,1.1822,1.1822,0,0,0
4.7986,0.5,0,1.1762,1.1762,0,0,0
4.8283,0.5,0,1.1701,1.1701,0,0,0
4.858,0.5,0,1.1641,1.1641,0,0,0
4.8877,0.5,0,1.158,1.158,0,0,0
4.9174,0.5,0,1.1519,1.1519,0,0,0
4.9471,0.5,0,1.1457,1.1457,0,0,0
4.9769,0.5,0,1.1393,1.1393,0,0,0
5.0066,0.5,0,1.1329,1.1329,0,0,0
5.0364,0.5,0,1.1262,1.1262,0,0,0
5.0671,0.5,0,1.1191,1.1191,0,0,0
5.1016,0.5,0,1.1111,1.1111,0,0,0
5.1426,0.5,0,1.1017,1.1017,0,0,0
5.1893,0.5,0,1.0915,1.0915,0,0,0
5.239,0.5,0,1.0813,1.0813,0,0,0
5.2887,0.5,0,1.0719,1.0719,0,0,0
5.3384,0.5,0,1.063,1.063,0,0,0
5.3882,0.5,0,1.0546,1.0546,0,0,0
5.4379,0.5,0,1.0467,1.0467,0,0,0
5.4876,0.5,0,1.0392,1.0392,0,0,0
5.5374,0.5,0,1.0319,1.0319,0,0,0
5.5871,0.5,0,1.0247,1.0247,0,0,0
5.6368,0.5,0,1.0175,1.0175,0,0,0
5.6865,0.5,0,1.0105,1.0105,0,0,0
5.7363,0.5,0,1.0036,1.0036,0,0,0
5.786,0.5,0,0.99675,0.99675,0,0,0
5.8357,0.5,0,0.98972,0.98972,0,0,0
5.8854,0.5,0,0.98258,0.98258,0,0,0
5.9352,0.5,0,0.97542,0.97542,0,0,0
5.9849,0.5,0,0.96824,0.96824,0,0,0
6.0346,0.5,0,0.96095,0.96095,0,0,0
6.0843,0.5,0,0.9535,0.9535,0,0,0
6.1341,0.5,0,0.94591,0.94591,0,0,0
6.1838,0.5,0,0.93825,0.93825,0,0,0
6.2335,0.5,0,0.93058,0.93058,0,0,0
6.2832,0.5,0,0.92293,0.92293,0,0,0
6.333,0.5,0,0.9153,0.9153,0,0,0
6.3827,0.5,0,0.90771,0.90771,0,0,0
6.4324,0.5,0,0.90015,0.90015,0,0,0
6.4821,0.5,0,0.89257,0.89257,0,0,0
6.5319,0.5,0,0.88489,0.88489,0,0,0
6.5816,0.5,0,0.87713,0.87713,0,0,0
6.6313,0.5,0,0.86926,0.86926,0,0,0
6.681,0.5,0,0.86129,0.86129,0,0,0
6.7308,0.5,0,0.85321,0.85321,0,0,0
6.7805,0.5,0,0.84504,0.84504,0,0,0
6.8302,0.5,0,0.83686,0.83686,0,0,0
