"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
1.5014,-4.2857e-16,0,13.925,13.925,0,0,0
1.4815,-4.2938e-16,0,13.953,13.953,0,0,0
1.5215,-4.2775e-16,0,13.897,13.897,0,0,0
1.5416,-4.2693e-16,0,13.869,13.869,0,0,0
1.5617,-4.2611e-16,0,13.841,13.841,0,0,0
1.5819,-4.2528e-16,0,13.813,13.813,0,0,0
1.6021,-4.2446e-16,0,13.785,13.785,0,0,0
1.6222,-4.2364e-16,0,13.757,13.757,0,0,0
1.6422,-4.2282e-16,0,13.729,13.729,0,0,0
1.6622,-4.22e-16,0,13.701,13.701,0,0,0
1.6822,-4.2119e-16,0,13.674,13.674,0,0,0
1.7022,-4.2037e-16,0,13.646,13.646,0,0,0
1.7222,-4.1956e-16,0,13.619,13.619,0,0,0
1.7421,-4.1874e-16,0,13.591,13.591,0,0,0
1.7621,-4.1793e-16,0,13.564,13.564,0,0,0
1.7821,-4.1711e-16,0,13.536,13.536,0,0,0
1.8021,-4.1629e-16,0,13.509,13.509,0,0,0
1.8221,-4.1548e-16,0,13.482,13.482,0,0,0
1.8421,-4.1466e-16,0,13.455,13.455,0,0,0
1.862,-4.1385e-16,0,13.427,13.427,0,0,0
1.882,-4.1303e-16,0,13.4,13.4,0,0,0
1.902,-4.1222e-16,0,13.373,13.373,0,0,0
1.922,-4.114e-16,0,13.346,13.346,0,0,0
1.942,-4.1058e-16,0,13.319,13.319,0,0,0
1.962,-4.0977e-16,0,13.291,13.291,0,0,0
1.9819,-4.0895e-16,0,13.264,13.264,0,0,0
2.002,-4.0814e-16,0,13.237,13.237,0,0,0
2.0221,-4.0731e-16,0,13.21,13.21,0,0,0
2.0422,-4.0649e-16,0,13.183,13.183,0,0,0
2.0625,-4.0567e-16,0,13.156,13.156,0,0,0
2.0826,-4.0484e-16,0,13.128,13.128,0,0,0
2.1027,-4.0402e-16,0,13.101,13.101,0,0,0
2.1227,-4.0321e-16,0,13.075,13.075,0,0,0
2.1427,-4.0239e-16,0,13.048,13.048,0,0,0
2.1627,-4.0157e-16,0,13.021,13.021,0,0,0
2.1827,-4.0076e-16,0,12.994,12.994,0,0,0
2.2027,-3.9994e-16,0,12.967,12.967,0,0,0
2.2226,-3.9913e-16,0,12.941,12.941,0,0,0
2.2426,-3.9831e-16,0,12.914,12.914,0,0,0
2.2626,-3.975e-16,0,12.887,12.887,0,0,0
2.2826,-3.9668e-16,0,12.861,12.861,0,0,0
2.3026,-3.9586e-16,0,12.834,12.834,0,0,0
2.3226,-3.9505e-16,0,12.807,12.807,0,0,0
2.3425,-3.9423e-16,0,12.781,12.781,0,0,0
2.3625,-3.9342e-16,0,12.754,12.754,0,0,0
2.3825,-3.926e-16,0,12.728,12.728,0,0,0
2.4025,-3.9179e-16,0,12.701,12.701,0,0,0
2.4225,-3.9097e-16,0,12.675,12.675,0,0,0
2.4425,-3.9015e-16,0,12.648,12.648,0,0,0
2.4624,-3.8934e-16,0,12.622,12.622,0,0,0
2.4825,-3.8852e-16,0,12.595,12.595,0,0,0
2.5026,-3.877e-16,0,12.568,12.568,0,0,0
2.5228,-3.8688e-16,0,12.542,12.542,0,0,0
2.543,-3.8605e-16,0,12.515,12.515,0,0,0
2.5631,-3.8523e-16,0,12.488,12.488,0,0,0
2.5832,-3.8441e-16,0,12.462,12.462,0,0,0
2.6032,-3.8359e-16,0,12.435,12.435,0,0,0
2.6232,-3.8277e-16,0,12.409,12.409,0,0,0
2.6432,-3.8196e-16,0,12.383,12.383,0,0,0
2.6632,-3.8114e-16,0,12.356,12.356,0,0,0
2.6832,-3.8033e-16,0,12.33,12.33,0,0,0
2.7031,-3.7951e-16,0,12.304,12.304,0,0,0
2.7231,-3.787e-16,0,12.278,12.278,0,0,0
2.7431,-3.7788e-16,0,12.251,12.251,0,0,0
2.7631,-3.7706e-16,0,12.225,12.225,0,0,0
2.7831,-3.7625e-16,0,12.199,12.199,0,0,0
2.8031,-3.7543e-16,0,12.172,12.172,0,0,0
2.823,-3.7462e-16,0,12.146,12.146,0,0,0
2.843,-3.738e-16,0,12.12,12.12,0,0,0
2.863,-3.7299e-16,0,12.094,12.094,0,0,0
2.883,-3.7217e-16,0,12.067,12.067,0,0,0
2.903,-3.7135e-16,0,12.041,12.041,0,0,0
2.923,-3.7054e-16,0,12.015,12.015,0,0,0
2.943,-3.6972e-16,0,11.988,11.988,0,0,0
2.963,-3.689e-16,0,11.962,11.962,0,0,0
8.9424,-1.2481e-16,0,4.0632,4.0632,0,0,0
8.8923,-1.2686e-16,0,4.1313,4.1313,0,0,0
8.9926,-1.2277e-16,0,3.9951,3.9951,0,0,0
9.0428,-1.2072e-16,0,3.927,3.927,0,0,0
9.0929,-1.1867e-16,0,3.859,3.859,0,0,0
9.1431,-1.1662e-16,0,3.7909,3.7909,0,0,0
9.1933,-1.1458e-16,0,3.7229,3.7229,0,0,0
9.2434,-1.1253e-16,0,3.655,3.655,0,0,0
9.2936,-1.1048e-16,0,3.587,3.587,0,0,0
9.3438,-1.0843e-16,0,3.5191,3.5191,0,0,0
9.3939,-1.0638e-16,0,3.4513,3.4513,0,0,0
9.4441,-1.0434e-16,0,3.3835,3.3835,0,0,0
9.4943,-1.0229e-16,0,3.3158,3.3158,0,0,0
9.5444,-1.0024e-16,0,3.2481,3.2481,0,0,0
9.5946,-9.8193e-17,0,3.1805,3.1805,0,0,0
9.6447,-9.6145e-17,0,3.1128,3.1128,0,0,0
9.6949,-9.4097e-17,0,3.0453,3.0453,0,0,0
9.7451,-9.205e-17,0,2.9777,2.9777,0,0,0
9.7952,-9.0002e-17,0,2.9102,2.9102,0,0,0
9.8454,-8.7954e-17,0,2.8427,2.8427,0,0,0
9.8956,-8.5906e-17,0,2.7753,2.7753,0,0,0
9.9457,-8.3858e-17,0,2.7079,2.7079,0,0,0
9.9959,-8.181e-17,0,2.6405,2.6405,0,0,0
10.046,-7.9763e-17,0,2.5732,2.5732,0,0,0
10.096,-7.7715e-17,0,2.5059,2.5059,0,0,0
10.146,-7.5667e-17,0,2.4386,2.4386,0,0,0
10.197,-7.3619e-17,0,2.3714,2.3714,0,0,0
10.247,-7.1571e-17,0,2.3042,2.3042,0,0,0
10.297,-6.9524e-17,0,2.237,2.237,0,0,0
10.347,-6.7476e-17,0,2.17,2.17,0,0,0
10.397,-6.5428e-17,0,2.1032,2.1032,0,0,0
10.447,-6.338e-17,0,2.0364,2.0364,0,0,0
10.498,-6.1332e-17,0,1.9697,1.9697,0,0,0
10.548,-5.9284e-17,0,1.9031,1.9031,0,0,0
10.598,-5.7237e-17,0,1.8364,1.8364,0,0,0
10.648,-5.5189e-17,0,1.7697,1.7697,0,0,0
10.698,-5.3141e-17,0,1.703,1.703,0,0,0
10.748,-5.1093e-17,0,1.6363,1.6363,0,0,0
-5.4133,1,0,21.68,21.68,0,0,0
-5.3631,1,0,21.672,21.672,0,0,0
-5.313,1,0,21.664,21.664,0,0,0
-5.2629,1,0,21.656,21.656,0,0,0
-5.2127,1,0,21.648,21.648,0,0,0
-5.1626,1,0,21.64,21.64,0,0,0
-5.1125,1,0,21.632,21.632,0,0,0
-5.0624,1,0,21.624,21.624,0,0,0
-5.0122,1,0,21.615,21.615,0,0,0
-4.9621,1,0,21.607,21.607,0,0,0
-4.912,1,0,21.599,21.599,0,0,0
-4.8618,1,0,21.591,21.591,0,0,0
-4.8117,1,0,21.583,21.583,0,0,0
-4.7616,1,0,21.575,21.575,0,0,0
-4.7114,1,0,21.567,21.567,0,0,0
-4.6613,1,0,21.558,21.558,0,0,0
-4.6112,1,0,21.55,21.55,0,0,0
-4.561,1,0,21.542,21.542,0,0,0
-4.5109,1,0,21.534,21.534,0,0,0
-4.4608,1,0,21.526,21.526,0,0,0
-4.4106,1,0,21.518,21.518,0,0,0
-4.3605,1,0,21.51,21.51,0,0,0
-4.3104,1,0,21.502,21.502,0,0,0
-4.2602,1,0,21.493,21.493,0,0,0
-4.2101,1,0,21.485,21.485,0,0,0
-4.16,1,0,21.477,21.477,0,0,0
-4.1098,1,0,21.469,21.469,0,0,0
-4.0597,1,0,21.461,21.461,0,0,0
-4.0096,1,0,21.453,21.453,0,0,0
-3.9594,1,0,21.445,21.445,0,0,0
-3.9093,1,0,21.437,21.437,0,0,0
-3.8592,1,0,21.429,21.429,0,0,0
-3.809,1,0,21.421,21.421,0,0,0
-3.7589,1,0,21.413,21.413,0,0,0
-3.7088,1,0,21.405,21.405,0,0,0
-3.6586,1,0,21.397,21.397,0,0,0
-3.6085,1,0,21.389,21.389,0,0,0
-3.5584,1,0,21.381,21.381,0,0,0
-3.5082,1,0,21.373,21.373,0,0,0
-3.4581,1,0,21.365,21.365,0,0,0
-3.408,1,0,21.358,21.358,0,0,0
-3.3578,1,0,21.35,21.35,0,0,0
-3.3077,1,0,21.342,21.342,0,0,0
-3.2576,1,0,21.335,21.335,0,0,0
-3.2074,1,0,21.327,21.327,0,0,0
-3.1573,1,0,21.319,21.319,0,0,0
-3.1072,1,0,21.312,21.312,0,0,0
-3.057,1,0,21.305,21.305,0,0,0
-3.0069,1,0,21.297,21.297,0,0,0
-2.9568,1,0,21.29,21.29,0,0,0
-2.9067,1,0,21.283,21.283,0,0,0
-2.8565,1,0,21.277,21.277,0,0,0
-2.8064,1,0,21.27,21.27,0,0,0
-2.7563,1,0,21.263,21.263,0,0,0
-2.7061,1,0,21.257,21.257,0,0,0
-2.656,1,0,21.251,21.251,0,0,0
-2.6059,1,0,21.245,21.245,0,0,0
-2.5557,1,0,21.239,21.239,0,0,0
-2.5056,1,0,21.234,21.234,0,0,0
-2.4555,1,0,21.229,21.229,0,0,0
-2.4053,1,0,21.224,21.224,0,0,0
-2.3552,1,0,21.22,21.22,0,0,0
-2.3051,1,0,21.216,21.216,0,0,0
-2.2549,1,0,21.212,21.212,0,0,0
-2.2048,1,0,21.209,21.209,0,0,0
-2.1547,1,0,21.205,21.205,0,0,0
-2.1061,1,0,21.203,21.203,0,0,0
-2.0606,1,0,21.201,21.201,0,0,0
-2.0242,1,0,21.201,21.201,0,0,0
-1.9941,1,0,21.201,21.201,0,0,0
-1.9643,1,0,21.201,21.201,0,0,0
-1.9344,1,0,21.201,21.201,0,0,0
-1.9045,1,0,21.202,21.202,0,0,0
-1.8746,1,0,21.203,21.203,0,0,0
-1.8447,1,0,21.204,21.204,0,0,0
11.752,-1.0137e-17,0,0.32161,0.32161,0,0,0
11.702,-1.2185e-17,0,0.38773,0.38773,0,0,0
11.802,-8.089e-18,0,0.25529,0.25529,0,0,0
11.852,-6.0411e-18,0,0.1888,0.1888,0,0,0
11.902,-3.9935e-18,0,0.12278,0.12278,0,0,0
11.952,-1.9501e-18,0,0.058956,0.058956,0,0,0
12,0.096024,0,0,3.3111,2.5707,-0.0036403,0
12,0.073961,0,0,2.1687,2.0807,-0.00063823,0
12,0.054775,0,0,1.2919,1.6063,0.00054832,0
12,0.038092,0,0,0.67157,1.1583,0.00054148,0
12,0.023584,0,0,0.27477,0.74106,0.00029628,0
12,0.01097,0,0,0.063737,0.35715,8.5629e-05,0
12,0,0,0,-6.3129e-05,0,0,0
-6,0.90596,0,21.781,22.006,0.68156,0,0
-6,0.92757,0,21.776,21.921,0.53747,0,0
-6,0.94636,0,21.774,21.857,0.40611,0,0
-6,0.9627,0,21.772,21.814,0.2873,0,0
-6,0.9769,0,21.772,21.788,0.1805,0,0
-6,0.98926,0,21.772,21.775,0.085018,0,0
-6,1,0,21.771,21.771,0,0,0
-5.9578,1,0,21.766,21.766,0,0,0
-5.9124,1,0,21.759,21.759,0,0,0
-5.8643,1,0,21.751,21.751,0,0,0
-5.8143,1,0,21.743,21.743,0,0,0
-5.7642,1,0,21.735,21.735,0,0,0
-5.7141,1,0,21.728,21.728,0,0,0
-5.6639,1,0,21.72,21.72,0,0,0
-5.6138,1,0,21.712,21.712,0,0,0
-5.5637,1,0,21.705,21.705,0,0,0
-5.5135,1,0,21.697,21.697,0,0,0
-5.4634,1,0,21.688,21.688,0,0,0
0.76116,-4.5879e-16,0,15.041,15.041,0,0,0
0.74118,-4.596e-16,0,15.076,15.076,0,0,0
0.78115,-4.5797e-16,0,15.006,15.006,0,0,0
0.80113,-4.5716e-16,0,14.972,14.972,0,0,0
0.82111,-4.5634e-16,0,14.939,14.939,0,0,0
0.8411,-4.5552e-16,0,14.906,14.906,0,0,0
0.86108,-4.5471e-16,0,14.873,14.873,0,0,0
0.88106,-4.5389e-16,0,14.84,14.84,0,0,0
0.90104,-4.5308e-16,0,14.808,14.808,0,0,0
0.92103,-4.5226e-16,0,14.777,14.777,0,0,0
0.94101,-4.5145e-16,0,14.745,14.745,0,0,0
0.96099,-4.5063e-16,0,14.714,14.714,0,0,0
0.98098,-4.4981e-16,0,14.683,14.683,0,0,0
1.001,-4.49e-16,0,14.652,14.652,0,0,0
1.0209,-4.4818e-16,0,14.621,14.621,0,0,0
1.041,-4.4736e-16,0,14.591,14.591,0,0,0
1.061,-4.4655e-16,0,14.561,14.561,0,0,0
1.0812,-4.4572e-16,0,14.53,14.53,0,0,0
1.1014,-4.449e-16,0,14.5,14.5,0,0,0
2.9831,-3.6808e-16,0,11.935,11.935,0,0,0
3.0033,-3.6726e-16,0,11.908,11.908,0,0,0
3.0242,-3.664e-16,0,11.88,11.88,0,0,0
3.0476,-3.6545e-16,0,11.848,11.848,0,0,0
3.0742,-3.6437e-16,0,11.814,11.814,0,0,0
3.1042,-3.6314e-16,0,11.776,11.776,0,0,0
3.1341,-3.6192e-16,0,11.738,11.738,0,0,0
3.1641,-3.6069e-16,0,11.701,11.701,0,0,0
3.1941,-3.5947e-16,0,11.663,11.663,0,0,0
3.2241,-3.5825e-16,0,11.624,11.624,0,0,0
3.254,-3.5702e-16,0,11.584,11.584,0,0,0
3.284,-3.558e-16,0,11.544,11.544,0,0,0
3.314,-3.5458e-16,0,11.504,11.504,0,0,0
3.344,-3.5335e-16,0,11.464,11.464,0,0,0
3.3739,-3.5213e-16,0,11.424,11.424,0,0,0
3.4039,-3.5091e-16,0,11.384,11.384,0,0,0
3.4339,-3.4968e-16,0,11.345,11.345,0,0,0
3.4639,-3.4846e-16,0,11.305,11.305,0,0,0
3.4938,-3.4723e-16,0,11.265,11.265,0,0,0
3.5238,-3.4601e-16,0,11.226,11.226,0,0,0
3.5538,-3.4479e-16,0,11.186,11.186,0,0,0
3.5838,-3.4356e-16,0,11.147,11.147,0,0,0
3.6137,-3.4234e-16,0,11.108,11.108,0,0,0
3.6437,-3.4112e-16,0,11.068,11.068,0,0,0
3.6737,-3.3989e-16,0,11.029,11.029,0,0,0
3.7037,-3.3867e-16,0,10.99,10.99,0,0,0
3.7336,-3.3745e-16,0,10.951,10.951,0,0,0
3.7636,-3.3622e-16,0,10.912,10.912,0,0,0
3.7936,-3.35e-16,0,10.873,10.873,0,0,0
3.8236,-3.3378e-16,0,10.833,10.833,0,0,0
3.8535,-3.3255e-16,0,10.794,10.794,0,0,0
3.8835,-3.3133e-16,0,10.755,10.755,0,0,0
3.9135,-3.301e-16,0,10.716,10.716,0,0,0
3.9435,-3.2888e-16,0,10.677,10.677,0,0,0
3.9734,-3.2766e-16,0,10.639,10.639,0,0,0
4.0034,-3.2643e-16,0,10.6,10.6,0,0,0
4.0334,-3.2521e-16,0,10.561,10.561,0,0,0
4.0634,-3.2399e-16,0,10.522,10.522,0,0,0
4.0933,-3.2276e-16,0,10.483,10.483,0,0,0
4.1233,-3.2154e-16,0,10.444,10.444,0,0,0
4.1533,-3.2032e-16,0,10.405,10.405,0,0,0
4.1833,-3.1909e-16,0,10.366,10.366,0,0,0
4.2132,-3.1787e-16,0,10.328,10.328,0,0,0
4.2432,-3.1664e-16,0,10.289,10.289,0,0,0
4.2732,-3.1542e-16,0,10.25,10.25,0,0,0
4.3032,-3.142e-16,0,10.211,10.211,0,0,0
4.3331,-3.1297e-16,0,10.172,10.172,0,0,0
4.3631,-3.1175e-16,0,10.133,10.133,0,0,0
4.3931,-3.1053e-16,0,10.094,10.094,0,0,0
4.4231,-3.093e-16,0,10.055,10.055,0,0,0
