"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-0.59924,-5.1432e-16,0,4.6967,4.6967,0,0,0
-0.61919,-5.1513e-16,0,4.7604,4.7604,0,0,0
-0.63913,-5.1595e-16,0,4.8257,4.8257,0,0,0
-0.65908,-5.1676e-16,0,4.8924,4.8924,0,0,0
-0.67902,-5.1758e-16,0,4.9604,4.9604,0,0,0
-0.69897,-5.1839e-16,0,5.0294,5.0294,0,0,0
-0.71891,-5.1921e-16,0,5.0992,5.0992,0,0,0
-0.73886,-5.2002e-16,0,5.1696,5.1696,0,0,0
-0.75881,-5.2083e-16,0,5.2404,5.2404,0,0,0
-0.77878,-5.2165e-16,0,5.3114,5.3114,0,0,0
-0.79881,-5.2247e-16,0,5.3824,5.3824,0,0,0
-0.81891,-5.2329e-16,0,5.4533,5.4533,0,0,0
-0.83904,-5.2411e-16,0,5.5237,5.5237,0,0,0
-0.8592,-5.2493e-16,0,5.5932,5.5932,0,0,0
-0.87927,-5.2575e-16,0,5.6613,5.6613,0,0,0
-0.89928,-5.2657e-16,0,5.7279,5.7279,0,0,0
-0.91925,-5.2738e-16,0,5.7928,5.7928,0,0,0
-0.9392,-5.282e-16,0,5.8559,5.8559,0,0,0
-0.95914,-5.2901e-16,0,5.9172,5.9172,0,0,0
-0.97909,-5.2983e-16,0,5.9766,5.9766,0,0,0
-0.99903,-5.3064e-16,0,6.034,6.034,0,0,0
-1.0199,-5.3149e-16,0,6.092,6.092,0,0,0
-1.0421,-5.324e-16,0,6.1509,6.1509,0,0,0
-1.0682,-5.3347e-16,0,6.2169,6.2169,0,0,0
-1.0976,-5.3466e-16,0,6.2863,6.2863,0,0,0
-1.1275,-5.3588e-16,0,6.3524,6.3524,0,0,0
-1.1574,-5.3711e-16,0,6.4138,6.4138,0,0,0
-1.1873,-5.3833e-16,0,6.4706,6.4706,0,0,0
-1.2172,-5.3955e-16,0,6.5231,6.5231,0,0,0
-1.2472,-5.4077e-16,0,6.5716,6.5716,0,0,0
-1.2771,-5.4199e-16,0,6.6162,6.6162,0,0,0
-1.307,-5.4321e-16,0,6.6573,6.6573,0,0,0
-1.3369,-5.4443e-16,0,6.6951,6.6951,0,0,0
-1.3668,-5.4565e-16,0,6.7299,6.7299,0,0,0
-1.3967,-5.4688e-16,0,6.762,6.762,0,0,0
-1.4267,-5.481e-16,0,6.7915,6.7915,0,0,0
-1.4566,-5.4932e-16,0,6.8187,6.8187,0,0,0
-1.4865,-5.5054e-16,0,6.8439,6.8439,0,0,0
-4.7594,1,0,7.2751,7.2751,0,0,0
-4.7091,1,0,7.274,7.274,0,0,0
-4.6589,1,0,7.2728,7.2728,0,0,0
-4.6087,1,0,7.2716,7.2716,0,0,0
-4.5585,1,0,7.2704,7.2704,0,0,0
-4.5082,1,0,7.2693,7.2693,0,0,0
-4.458,1,0,7.2681,7.2681,0,0,0
-4.4078,1,0,7.267,7.267,0,0,0
-4.3576,1,0,7.2658,7.2658,0,0,0
-4.3074,1,0,7.2647,7.2647,0,0,0
-4.2571,1,0,7.2636,7.2636,0,0,0
-4.2069,1,0,7.2625,7.2625,0,0,0
-4.1567,1,0,7.2614,7.2614,0,0,0
-4.1065,1,0,7.2603,7.2603,0,0,0
-4.0563,1,0,7.2593,7.2593,0,0,0
-4.006,1,0,7.2582,7.2582,0,0,0
-3.9558,1,0,7.2572,7.2572,0,0,0
-3.9056,1,0,7.2562,7.2562,0,0,0
-3.8554,1,0,7.2552,7.2552,0,0,0
-3.8051,1,0,7.2543,7.2543,0,0,0
-3.7549,1,0,7.2533,7.2533,0,0,0
-3.7047,1,0,7.2524,7.2524,0,0,0
-3.6545,1,0,7.2515,7.2515,0,0,0
-3.6043,1,0,7.2507,7.2507,0,0,0
-3.554,1,0,7.2499,7.2499,0,0,0
-3.5038,1,0,7.2491,7.2491,0,0,0
-3.4536,1,0,7.2484,7.2484,0,0,0
-3.4034,1,0,7.2477,7.2477,0,0,0
-3.3531,1,0,7.2471,7.2471,0,0,0
-3.3029,1,0,7.2465,7.2465,0,0,0
-3.2527,1,0,7.246,7.246,0,0,0
-3.2025,1,0,7.2456,7.2456,0,0,0
-3.1523,1,0,7.2452,7.2452,0,0,0
-3.102,1,0,7.2449,7.2449,0,0,0
