"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
9.7578,0.5,0,0.94986,0.94986,0,0,0
9.8077,0.5,0,0.92766,0.92766,0,0,0
9.8575,0.5,0,0.9054,0.9054,0,0,0
9.9074,0.5,0,0.88302,0.88302,0,0,0
9.9572,0.5,0,0.8605,0.8605,0,0,0
10.007,0.5,0,0.83798,0.83798,0,0,0
10.057,0.5,0,0.81578,0.81578,0,0,0
10.107,0.5,0,0.79428,0.79428,0,0,0
10.157,0.5,0,0.77352,0.77352,0,0,0
10.207,0.5,0,0.75328,0.75328,0,0,0
10.256,0.5,0,0.73324,0.73324,0,0,0
10.306,0.5,0,0.71306,0.71306,0,0,0
10.356,0.5,0,0.69254,0.69254,0,0,0
10.406,0.5,0,0.67168,0.67168,0,0,0
10.456,0.5,0,0.65061,0.65061,0,0,0
10.506,0.5,0,0.62942,0.62942,0,0,0
10.556,0.5,0,0.6081,0.6081,0,0,0
10.605,0.5,0,0.58665,0.58665,0,0,0
10.655,0.5,0,0.56506,0.56506,0,0,0
10.705,0.5,0,0.54328,0.54328,0,0,0
10.755,0.5,0,0.52133,0.52133,0,0,0
10.805,0.5,0,0.49929,0.49929,0,0,0
10.855,0.5,0,0.47734,0.47734,0,0,0
10.905,0.5,0,0.45559,0.45559,0,0,0
10.955,0.5,0,0.434,0.434,0,0,0
11.004,0.5,0,0.41252,0.41252,0,0,0
11.054,0.5,0,0.39128,0.39128,0,0,0
11.104,0.5,0,0.3705,0.3705,0,0,0
11.154,0.5,0,0.35024,0.35024,0,0,0
11.204,0.5,0,0.33041,0.33041,0,0,0
11.254,0.5,0,0.31073,0.31073,0,0,0
11.304,0.5,0,0.2909,0.2909,0,0,0
11.353,0.5,0,0.27067,0.27067,0,0,0
11.403,0.5,0,0.25001,0.25001,0,0,0
11.453,0.5,0,0.22898,0.22898,0,0,0
11.503,0.5,0,0.20764,0.20764,0,0,0
11.553,0.5,0,0.18603,0.18603,0,0,0
11.603,0.5,0,0.16429,0.16429,0,0,0
11.653,0.5,0,0.14276,0.14276,0,0,0
11.702,0.5,0,0.12173,0.12173,0,0,0
11.752,0.5,0,0.10107,0.10107,0,0,0
11.802,0.5,0,0.080306,0.080306,0,0,0
11.852,0.5,0,0.059304,0.059304,0,0,0
11.902,0.5,0,0.038471,0.038471,0,0,0
11.952,0.5,0,0.018515,0.018515,0,0,0
12,0.42871,0,0,2.181,2.0877,-0.0013881,0
12,0.40745,0,0,3.3418,2.584,-0.0007077,0
12,0.44721,0,0,1.2984,1.6111,-0.0013375,0
12,0.46329,0,0,0.67402,1.161,-0.001014,0
12,0.47727,0,0,0.27513,0.74184,-0.00058951,0
12,0.48943,0,0,0.063605,0.35687,-0.00020693,0
12,0.5,0,0,-6.8995e-05,0,0,0
0,-4.8986e-16,0,6.3588,6.3588,0,0,0
-0.019945,-4.9067e-16,0,6.4042,6.4042,0,0,0
-0.03989,-4.9149e-16,0,6.45,6.45,0,0,0
-0.059835,-4.923e-16,0,6.4959,6.4959,0,0,0
-0.07978,-4.9312e-16,0,6.542,6.542,0,0,0
-0.099725,-4.9393e-16,0,6.5881,6.5881,0,0,0
-0.11967,-4.9474e-16,0,6.6343,6.6343,0,0,0
-0.13961,-4.9556e-16,0,6.6805,6.6805,0,0,0
-0.15956,-4.9637e-16,0,6.7267,6.7267,0,0,0
-0.1795,-4.9719e-16,0,6.7729,6.7729,0,0,0
-0.19945,-4.98e-16,0,6.8191,6.8191,0,0,0
-0.21939,-4.9881e-16,0,6.8652,6.8652,0,0,0
-0.23934,-4.9963e-16,0,6.9114,6.9114,0,0,0
-0.25928,-5.0044e-16,0,6.9576,6.9576,0,0,0
-0.27924,-5.0126e-16,0,7.0039,7.0039,0,0,0
-0.2992,-5.0207e-16,0,7.0503,7.0503,0,0,0
-0.31922,-5.0289e-16,0,7.097,7.097,0,0,0
-0.33931,-5.0371e-16,0,7.144,7.144,0,0,0
-0.35944,-5.0453e-16,0,7.1913,7.1913,0,0,0
-0.37961,-5.0535e-16,0,7.2389,7.2389,0,0,0
-0.39969,-5.0617e-16,0,7.2865,7.2865,0,0,0
-0.41971,-5.0699e-16,0,7.3342,7.3342,0,0,0
-0.43968,-5.0781e-16,0,7.3821,7.3821,0,0,0
-0.45963,-5.0862e-16,0,7.4302,7.4302,0,0,0
-0.47957,-5.0944e-16,0,7.4786,7.4786,0,0,0
-0.49952,-5.1025e-16,0,7.5272,7.5272,0,0,0
-0.51946,-5.1106e-16,0,7.576,7.576,0,0,0
-0.53941,-5.1188e-16,0,7.6251,7.6251,0,0,0
-0.55935,-5.1269e-16,0,7.6744,7.6744,0,0,0
-0.5793,-5.1351e-16,0,7.7237,7.7237,0,0,0
-0.59924,-5.1432e-16,0,7.7732,7.7732,0,0,0
-0.61919,-5.1513e-16,0,7.8227,7.8227,0,0,0
-0.63913,-5.1595e-16,0,7.8722,7.8722,0,0,0
-0.65908,-5.1676e-16,0,7.9215,7.9215,0,0,0
-0.67902,-5.1758e-16,0,7.9707,7.9707,0,0,0
-0.69897,-5.1839e-16,0,8.0196,8.0196,0,0,0
-0.71891,-5.1921e-16,0,8.0681,8.0681,0,0,0
-0.73886,-5.2002e-16,0,8.1161,8.1161,0,0,0
-0.75881,-5.2083e-16,0,8.1637,8.1637,0,0,0
-0.77878,-5.2165e-16,0,8.2106,8.2106,0,0,0
-0.79881,-5.2247e-16,0,8.2569,8.2569,0,0,0
-0.81891,-5.2329e-16,0,8.3026,8.3026,0,0,0
-0.83904,-5.2411e-16,0,8.3474,8.3474,0,0,0
-0.8592,-5.2493e-16,0,8.3912,8.3912,0,0,0
-0.87927,-5.2575e-16,0,8.4339,8.4339,0,0,0
-0.89928,-5.2657e-16,0,8.4753,8.4753,0,0,0
-0.91925,-5.2738e-16,0,8.5154,8.5154,0,0,0
-0.9392,-5.282e-16,0,8.5543,8.5543,0,0,0
-0.95914,-5.2901e-16,0,8.592,8.592,0,0,0
-0.97909,-5.2983e-16,0,8.6285,8.6285,0,0,0
-0.99903,-5.3064e-16,0,8.6637,8.6637,0,0,0
