"Points:0","Points:1","Points:2","Pressure","Total_Pressure","Velocity:0","Velocity:1","Velocity:2"
-6,0.52527,0,11.653,13.643,1.9949,0,0
-6,0.57322,0,11.653,13.568,1.9571,0,0
-6,0.62117,0,11.653,13.424,1.8825,0,0
-6,0.47732,0,11.653,13.645,1.9959,0,0
-6,0.66912,0,11.652,13.22,1.7712,0,0
-6,0.71707,0,11.651,12.968,1.6231,0,0
-6,0.42937,0,11.652,13.573,1.9601,0,0
7.4375,-1.8625e-16,0,2.6903,2.6903,0,0,0
7.3873,-1.883e-16,0,2.721,2.721,0,0,0
7.4876,-1.842e-16,0,2.6596,2.6596,0,0,0
7.5378,-1.8215e-16,0,2.6288,2.6288,0,0,0
7.588,-1.8011e-16,0,2.598,2.598,0,0,0
7.6381,-1.7806e-16,0,2.567,2.567,0,0,0
7.6883,-1.7601e-16,0,2.5362,2.5362,0,0,0
7.7385,-1.7396e-16,0,2.5055,2.5055,0,0,0
7.7886,-1.7191e-16,0,2.4755,2.4755,0,0,0
7.8388,-1.6987e-16,0,2.4465,2.4465,0,0,0
7.889,-1.6782e-16,0,2.4186,2.4186,0,0,0
7.9391,-1.6577e-16,0,2.3908,2.3908,0,0,0
7.9893,-1.6372e-16,0,2.3626,2.3626,0,0,0
8.0395,-1.6168e-16,0,2.3347,2.3347,0,0,0
8.0896,-1.5963e-16,0,2.3073,2.3073,0,0,0
8.1398,-1.5758e-16,0,2.2793,2.2793,0,0,0
8.19,-1.5553e-16,0,2.2496,2.2496,0,0,0
8.2401,-1.5348e-16,0,2.2183,2.2183,0,0,0
8.2903,-1.5144e-16,0,2.1863,2.1863,0,0,0
8.3405,-1.4939e-16,0,2.1541,2.1541,0,0,0
8.3906,-1.4734e-16,0,2.1219,2.1219,0,0,0
8.4408,-1.4529e-16,0,2.0899,2.0899,0,0,0
8.4909,-1.4325e-16,0,2.058,2.058,0,0,0
8.5411,-1.412e-16,0,2.0262,2.0262,0,0,0
8.5913,-1.3915e-16,0,1.9946,1.9946,0,0,0
8.6414,-1.371e-16,0,1.9632,1.9632,0,0,0
8.6916,-1.3505e-16,0,1.9318,1.9318,0,0,0
8.7418,-1.3301e-16,0,1.9006,1.9006,0,0,0
8.7919,-1.3096e-16,0,1.8695,1.8695,0,0,0
8.8421,-1.2891e-16,0,1.8385,1.8385,0,0,0
8.8923,-1.2686e-16,0,1.8075,1.8075,0,0,0
8.9424,-1.2481e-16,0,1.7766,1.7766,0,0,0
8.9926,-1.2277e-16,0,1.7457,1.7457,0,0,0
9.0428,-1.2072e-16,0,1.7149,1.7149,0,0,0
